"","ambpal","aneatr","aphful","aphpic","aphrud","aphten","aphtre","bradep","camame","camcar","camcas","camchr","camher","camnea","camnov","campen","carobs","crecer","crelin","dolmar","dolpla","dolpus","doltas","forarg","forase","forcre","fordif","fordir","fordol","forexs","forfos","forgla","forimp","forinc","forint","forkni","forlas","forneo1","forneo2","fornep","forobs","forpal","forper","forpod","forpro","forque","forref","forrub","forsub1","forsub2","forsub3","forulk","hyppun","lasali","lascla","lasfla","lasint","laslat","lasmin","lasnea","lasneo","laspal","lasspe","lassub1","lassub2","lasumb","lepcan","leperg","lepwil","monema","monpha","monvir","myrala","myrame1","myrame2","myrbre","myrdet","myreva","myrfra","myrinc","myrine","myrlat","myrlob","myrnea","myrpin","myrpun","myrrub","myrsca","myrscu","myrsem","myrsmi","nylfla","nylpar","phefla","phepil","polluc","ponpen","preimp","proame","prosil","pyrmet","pyrper","pyrpul","solmol","soltex","stebre","stedie","steimp","stesch","tapmel","tapses","tapspA","temamb","temcur","temlon","temsch","temtex","tetcae"
"fordir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fordol",16,0,2,4,70,0,0,26,18,6,4,6,4,20,16,68,0,32,26,0,4,2,6,10,0,0,0,0,68,12,0,0,2,44,10,0,10,32,0,4,6,16,2,0,0,6,0,2,6,2,76,0,0,42,16,8,6,4,2,20,24,4,4,4,2,20,2,0,0,2,2,2,0,8,14,0,2,0,6,0,0,0,0,2,6,40,16,0,42,2,24,2,6,0,0,4,30,58,0,0,0,0,0,10,0,14,2,20,8,0,48,0,8,38,38,2,0,24
"forexs",20,0,2,18,36,6,4,14,18,4,4,14,18,20,60,32,0,40,20,8,22,14,18,28,10,0,2,0,12,166,10,26,2,16,30,2,40,34,6,2,10,16,4,0,4,8,2,18,14,18,54,4,0,44,24,26,14,14,10,10,48,12,4,2,6,24,10,0,0,10,2,2,2,28,34,0,26,0,24,16,2,0,2,2,6,20,4,0,36,2,16,0,12,2,2,6,20,16,0,0,0,0,0,10,0,10,8,0,0,0,38,0,18,12,16,6,0,10
"forfos",2,0,0,2,0,0,0,2,0,2,0,0,2,0,10,2,0,8,2,2,2,2,2,8,2,0,0,0,0,10,10,10,0,0,6,0,10,8,2,0,2,0,0,0,0,0,2,4,4,0,10,2,0,6,2,4,2,0,2,0,8,4,0,0,2,2,2,0,0,0,0,0,0,2,10,0,10,0,10,6,0,0,2,0,0,0,2,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,0,6,0,4,0,2,0,0,2
"forgla",6,0,0,18,6,0,0,6,0,2,0,0,8,0,38,12,0,24,2,4,6,6,6,24,12,0,0,0,0,26,10,86,0,2,26,0,42,32,6,0,2,0,0,2,2,0,2,14,18,12,46,10,0,28,4,14,2,0,2,0,40,14,0,0,2,4,4,0,0,0,0,0,2,12,44,0,38,0,52,12,2,2,4,0,4,0,6,0,46,0,2,0,0,0,0,0,12,0,0,0,0,0,0,2,0,10,6,4,0,0,34,0,22,0,4,0,0,4
"forimp",0,0,0,0,2,0,0,0,2,0,2,2,0,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,2,2,0,0,4,2,2,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,0,0,2,2,0,2,0,0,0,2,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0
"forinc",166,14,16,12,690,2,8,122,48,32,6,24,10,152,66,512,12,334,310,10,12,10,16,18,0,0,6,0,44,16,0,2,2,536,20,2,50,122,2,6,18,48,14,0,0,2,0,6,6,10,466,0,0,520,58,22,68,36,2,88,572,126,4,18,2,120,6,0,0,74,0,2,0,78,100,0,32,0,126,10,0,2,6,18,46,342,570,178,198,2,106,220,14,2,6,12,578,660,12,0,14,0,0,308,8,348,4,244,120,0,548,0,386,532,306,6,2,720
"forint",6,0,4,14,30,2,2,10,12,4,2,8,22,14,52,32,0,32,10,6,26,10,20,24,26,0,4,0,10,30,6,26,2,20,86,0,50,40,10,8,12,10,8,0,0,2,2,12,18,14,56,2,0,50,22,16,14,10,4,10,66,24,4,2,4,20,16,0,0,10,0,2,4,14,44,0,40,0,38,16,2,0,4,4,6,24,2,0,30,2,10,0,4,2,0,6,18,10,0,0,0,0,0,16,0,10,6,4,0,0,54,0,22,8,16,4,0,18
"forkni",2,0,0,2,2,0,0,2,2,0,0,0,0,0,2,2,0,2,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,4,2,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,2,0,2,2,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,2,0,2,0,2,2,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,2,2,2,0,0
"forlas",24,0,4,34,80,4,4,24,16,4,2,10,40,16,96,66,0,64,24,12,42,22,22,44,42,0,2,0,10,40,10,42,0,50,50,2,212,62,12,2,8,20,4,0,2,4,2,18,22,18,138,8,0,118,32,38,16,16,10,14,134,42,2,8,8,34,30,0,0,22,0,0,2,34,94,0,82,0,70,24,2,2,8,8,8,50,18,2,58,2,32,0,10,2,4,6,38,38,6,0,0,0,0,28,4,32,16,18,14,0,112,0,42,44,48,4,2,38
